Incident Date,year,month,state,Total Number of Dead and Missing,Cause of Death,average_temp,Migration Route,geometry
2014-02-02,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-98.4387 26.2144)
2014-02-02,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-98.3777 26.9325)
2014-02-03,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-98.2349 26.9551)
2014-02-04,2014.0,2,TEXAS,1,Mixed or unknown,46.4,US-Mexico border crossing,POINT (-98.0257 27.0438)
2014-02-07,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-97.5147 27.741)
2014-02-07,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-98.4616 27.2326)
2014-02-08,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-100.5896 28.884)
2014-02-10,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-98.2482 26.0889)
2014-02-12,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-98.2435 26.0872)
2014-02-15,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-99.5025 27.3333)
2014-02-16,2014.0,2,CALIFORNIA,1,"Harsh environmental conditions / lack of adequate shelter, food, water",50.0,US-Mexico border crossing,POINT (-116.0343 32.7009)
2014-02-18,2014.0,2,TEXAS,1,Drowning,46.4,US-Mexico border crossing,POINT (-99.4972 27.3725)
2014-02-18,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-98.4202 26.9918)
2014-02-19,2014.0,2,TEXAS,1,Mixed or unknown,46.4,US-Mexico border crossing,POINT (-98.175 27.1709)
2014-02-21,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-105.0529 30.7629)
2014-02-21,2014.0,2,TEXAS,1,"Harsh environmental conditions / lack of adequate shelter, food, water",46.4,US-Mexico border crossing,POINT (-105.0529 30.7629)
2014-02-22,2014.0,2,ARIZONA,1,Mixed or unknown,48.2,US-Mexico border crossing,POINT (-112.2021 32.1731)
